1460540873775 Device(s) COM5  
1460540873803 Connected COM5  
1460540877019 Repl Initialized  
>> Robot Ready
setDegree 202.97442976567663
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 179 ,heading: 23 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 163 ,heading: 39 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 18 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 18 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 18 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 18 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 18 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 18 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 18 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 18 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 18 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 18 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 165 ,heading: 37 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 165 ,heading: 37 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 165 ,heading: 37 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 165 ,heading: 37 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 165 ,heading: 37 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 165 ,heading: 37 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 165 ,heading: 37 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 165 ,heading: 37 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 165 ,heading: 37 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 165 ,heading: 37 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 165 ,heading: 37 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 165 ,heading: 37 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 165 ,heading: 37 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 165 ,heading: 37 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 176 ,heading: 19 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 27 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 27 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 27 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 27 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 27 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 27 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 27 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 27 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 27 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 27 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 27 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 27 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 27 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 27 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 178 ,heading: 21 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 169 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 169 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 169 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 169 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 169 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 169 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 169 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 169 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 169 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 169 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 169 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 169 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 169 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 169 ,heading: 33 ,rotateDirection: left ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 18 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 18 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 18 ,rotateDirection: right ,quarter: Q3
output: 255 ,setpoint: 0 ,input: 175 ,heading: 18 ,rotateDirection: right ,quarter: Q3
